"Price","Name","Rooms","Area","Floor","Region","Year","Elevator"
"905 688 zł","Apartamenty Poligonowa Etap 4, M94","2 pokoje","83.86 m²","3 piętro","Sławin","2026","nie"
"530 875 zł","Zielone Tarasy Botanik ** PRZEDSPRZEDAŻ","2 pokoje","42.47 m²","2 piętro","Sławin","2026","nie"
"666 848 zł","Wojciechowska Square | mieszkanie 57","3 pokoje","59.54 m²","7 piętro","Konstantynów","2025","tak"
"527 710 zł","Osiedle Koncertowa Dolina | mieszkanie 2-pok. | 2","2 pokoje","48.18 m²","parter","Czechów Północny","brak informacji","tak"
"427 246 zł","Saski Point | wykończony lokal mieszkalny | 10","1 pokój","25.73 m²","1 piętro","Wieniawa","brak informacji","tak"
"547 521,80 zł","Gotowe mieszkanie 49 m2, 3 pokoje z aneksem kuch.","3 pokoje","49.82 m²","5 piętro","Wrotków","2024","tak"
"Zapytaj o cenę","Biernackiego 17|mieszkanie 26| minus 1000 zł/m2","3 pokoje","65.02 m²","4 piętro","Śródmieście","2025","tak"
"Zapytaj o cenę","Osiedle Daliowa II - 2P+AK","2 pokoje","49.36 m²","2 piętro","Ponikwoda","2024","tak"
"863 200 zł","MIESZKANIE PREMIUM - KOMFORTOWO WYKOŃCZONE - NOWE","3 pokoje","66.92 m²","parter","Czechów Południowy","2024","tak"
"529 000 zł","48m2, 3 pokoje po remoncie *przy wąwozie*","3 pokoje","48 m²","9 piętro","Kalinowszczyzna","brak informacji","tak"
"537 000 zł","Funkcjonalne, wygodne 3 pokoje Czuby","3 pokoje","57 m²","4 piętro","Czuby Północne","1994","nie"
"549 720 zł","Osiedle Metropol - 3 pokoje. Bez prowizji!","3 pokoje","61.08 m²","3 piętro","Dziesiąta","brak informacji","nie"
"385 000 zł","Mieszkanie w kamienicy przy ul. W. Kunickiego","2 pokoje","62 m²","2 piętro","Dziesiąta","1897","nie"
"419 000 zł","2-pokoje po remoncie, Wrotków, blisko Zalewu","2 pokoje","33.66 m²","1 piętro","Wrotków","1986","tak"
"683 400 zł","Trzypokojowe mieszkanie w centrum do sprzedania","3 pokoje","67 m²","3 piętro","Śródmieście","1984","nie"
"614 164 zł","Jemiołuszki Park| mieszkanie 3-pok. | M42","3 pokoje","55.38 m²","2 piętro","Węglin Południowy","brak informacji","nie"
"689 000 zł","Nowy Segment 76 Mkw Z Ogródkiem. Dziesiąta, Lublin","4 pokoje","76.16 m²","parter","Dziesiąta","2024","nie"
"850 000 zł","Mieszkanie z garażem przy Siewierzan","3 pokoje","86.7 m²","parter","Szerokie","2024","nie"
"869 000 zł","Wyjątkowy Apartament Z Antresolą - Ponikwoda","3 pokoje","106.35 m²","3 piętro","Ponikwoda","2010","tak"
"650 000 zł","52 M2 Na Czechowie, 3 Pokoje. Duży Balkon","3 pokoje","51.2 m²","8 piętro","Czechów Południowy","2018","tak"
"455 000 zł","Mieszkanie 2Pokoje 48Mkw Na Czubach ,Wyżynna","2 pokoje","47.8 m²","4 piętro","Czuby Południowe","1984","nie"
"449 000 zł","Felin-Os.Europejskie-2-pok-nowe-bez PCC-do wejscia","2 pokoje","31 m²","4 piętro","Felin","2024","tak"
"665 000 zł","To Mieszkanie Kupisz Bez Wkładu Własnego !!","4 pokoje","83.89 m²","1 piętro","Czechów Południowy","1995","nie"
"498 999 zł","Gliniana 25 ! Okazja - Bez Prowizji ! Umcs Kul Up","2 pokoje","39.26 m²","10 piętro","Rury","1982","tak"
"475 440 zł","Bez Prowizji Czechów ! Gotowe Na Grudzień 24 ! Ok","3 pokoje","51.81 m²","3 piętro","Czechów Południowy","2024","tak"
"699 000 zł","Mieszkanie + garaż w świetnej lokalizacji 75,5m²","3 pokoje","75.5 m²","2 piętro","Rury","1988","nie"
"415 000 zł","2 pokoje, ul. Dożynkowa, gotowe do wykończenia","2 pokoje","33.97 m²","3 piętro","Ponikwoda","2024","tak"
"385 000 zł","Mieszkanie Kalinowszczyzna Kleeberga 2 pokoje 33m2","2 pokoje","32.3 m²","parter","Kalinowszczyzna","1973","nie"
"348 000 zł","Sprzedam mieszkanie 42m OKAZJA !","2 pokoje","42.5 m²","4 piętro","Felin","1996","nie"
"590 000 zł","Idealne mieszkanie dla rodziny lub inwestora, LSM","3 pokoje","56.3 m²","3 piętro","Rury","1967","nie"
"499 000 zł","BEZPOŚREDNIO LSM Gliniana przy UP NOWE pod klucz!","2 pokoje","39.26 m²","10 piętro","Śródmieście","1972","tak"
"395 000 zł","Dwupokojowe mieszkanie na Wieniawie.","2 pokoje","35.33 m²","parter","Wieniawa","1964","nie"
"549 000 zł","Dwa duże pokoje na Wieniawie.","2 pokoje","55 m²","2 piętro","Wieniawa","1964","nie"
"670 000 zł","Sławinek, 4 pokoje, pod wynajem, dobry rozkład.","4 pokoje","79.3 m²","2 piętro","Sławin","1996","nie"
"474 355 zł","Osiedle Koncertowa Dolina | mieszkanie 2-pok. | 49","2 pokoje","43.09 m²","2 piętro","Czechów Północny","brak informacji","tak"
"755 000 zł","3 pok mieszkanie, 62m2, Wrońska - Słoneczne Ogrody","3 pokoje","62 m²","3 piętro","Bronowice","2018","tak"
"438 726 zł","2 pokoje, ul. Jemiołuszki, Węglin Pd, deweloperski","2 pokoje","49.23 m²","parter","Węglin Południowy","2025","nie"
"365 000 zł","Piękne odnowione mieszkanie Lublin, od ręki","2 pokoje","47.11 m²","2 piętro","Dziesiąta","1963","nie"
"679 000 zł","3 pokoje widok na panoramę Lublina","3 pokoje","58 m²","6 piętro","Bronowice","2023","tak"
"Zapytaj o cenę","Mieszkanie M5, 103,75mkw, 4 pokoje+aneks","4 pokoje","103.75 m²","1 piętro","Kalinowszczyzna","2024","tak"
"534 066 zł","Mieszkanie marzeń - 3 pokoje. Zamieszkaj w Lublini","3 pokoje","50.56 m²","parter","Czechów Południowy","2026","tak"
"599 000 zł","Duże mieszkanie 57m2 Lublin ul. Koncertowa 3 pok.","3 pokoje","57 m²","2 piętro","Czechów Południowy","1980","tak"
"790 000 zł","Mieszkanie z widokiem na las Stary Gaj","3 pokoje","102.24 m²","3 piętro","Czuby Południowe","1998","nie"
"Zapytaj o cenę","Narcyzowe Wzgórza II | mieszkanie 2-pok. | C_38","2 pokoje","39.43 m²","1 piętro","Ponikwoda","2026","tak"
"552 600 zł","Nowe mieszkanie. Realizacja 2024. Bez prowizji.","3 pokoje","61.4 m²","","Śródmieście","2025","tak"
"599 000 zł","3 pokoje na Sławinie","3 pokoje","55 m²","1 piętro","Sławin","2014","tak"
"Zapytaj o cenę","Kaczeńcova | mieszkanie 2-pok. | M.46","2 pokoje","45.51 m²","2 piętro","Czuby Północne","2026","nie"
"792 763 zł","Nowe mieszkanie w inw. Rezydencja Chabrowa | B.M19","3 pokoje","74.09 m²","3 piętro","Sławin","2022","tak"
"481 375 zł","Apartamenty Poligonowa Etap 5, M8","2 pokoje","38.51 m²","parter","Sławin","2026","nie"
"833 727 zł","Apartamenty Poligonowa Etap 4, M93","2 pokoje","64.63 m²","3 piętro","Sławin","2026","nie"
"368 280 zł","Zielone Tarasy Botanik ** PRZEDSPRZEDAŻ","1 pokój","29.7 m²","2 piętro","Sławin","2026","nie"
"620 950 zł","Wojciechowska Square | mieszkanie 3","3 pokoje","56.45 m²","1 piętro","Konstantynów","2025","tak"
"422 929 zł","Saski Point | wykończony lokal mieszkalny | 15","1 pokój","25.47 m²","1 piętro","Wieniawa","brak informacji","tak"
"543 235,70 zł","Gotowe mieszkanie 49 m2, 3 pokoje z aneksem kuch.","3 pokoje","49.43 m²","1 piętro","Wrotków","2024","tak"
"Zapytaj o cenę","Trzy pokoje z widnym aneksem dostępne w lipcu 2025","3 pokoje","52.65 m²","4 piętro","Węglin Południowy","2025","tak"
"Zapytaj o cenę","Biernackiego 17|mieszkanie 21| minus 1000 zł/m2","1 pokój","37.06 m²","3 piętro","Śródmieście","2025","tak"
"Zapytaj o cenę","Osiedle Daliowa II - 2P+AK","2 pokoje","49.36 m²","parter","Ponikwoda","2024","tak"
"850 000 zł","Mieszkanie Od Właściciela 0% PCC ul.Wieniawska 11","2 pokoje","45.62 m²","3 piętro","Stare Miasto","2024","tak"
"679 000 zł","*Duże Mieszkanie Z Balkonem * 4 Pokoje * Czechów*","4 pokoje","71.5 m²","3 piętro","Czechów Północny","1990","nie"
"519 000 zł","Mieszkanie Lsm - 3 Pokoje, Widok Na Wąwóz","3 pokoje","57.8 m²","2 piętro","Rury","1977","nie"
"586 474 zł","Jemiołuszki Park| mieszkanie 3-pok. | M36","3 pokoje","55.38 m²","1 piętro","Węglin Południowy","brak informacji","nie"
"415 000 zł","2 pokoje, ul. Dożynkowa, gotowe do wykończenia","2 pokoje","33.97 m²","3 piętro","Ponikwoda","2024","tak"
"630 000 zł","Wyjątkowe mieszkanie w Centrum Lublina","3 pokoje","54 m²","3 piętro","Śródmieście","brak informacji","nie"
"570 000 zł","3 pokoje | miejsce park | deweloperski | brak PCC","3 pokoje","55 m²","3 piętro","Kośminek","2023","tak"
"699 000 zł","3 pokoje, Felin, wykończone pod klucz, blok 2024","3 pokoje","58.47 m²","2 piętro","Felin","2024","tak"
"499 000 zł","4 pokoje_10 minut na Politechnikę_ od zaraz!","4 pokoje","57.86 m²","2 piętro","Wrotków","1978","nie"
"640 000 zł","SŁAWIN salon z aneksem plus 3 sypialnie 60.80m2","4 pokoje","60.8 m²","2 piętro","Sławin","2005","nie"
"344 817 zł","Nova Daliova | mieszkanie 2-pok. | B1.58","2 pokoje","34.83 m²","2 piętro","Ponikwoda","2025","tak"
"867 000 zł","** Czechów, Nowe, Wykończone, 66 Mkw - Bez Pcc **","3 pokoje","66.46 m²","1 piętro","Czechów Północny","2023","tak"
"749 000 zł","3 Pokoje, Koralowa, Duży Balkon, Klimatyzacja","3 pokoje","64.34 m²","3 piętro","Węglin Południowy","2012","tak"
"529 000 zł","Trzypokojowe mieszkanie z niskim czynszem","2 pokoje","48.5 m²","1 piętro","Dziesiąta","2016","nie"
"512 000 zł","Czechów, 3 Pokoje, Duży Balkon, Bez Prowizji","3 pokoje","72 m²","4 piętro","Czechów Południowy","1985","nie"
"613 900 zł","Lsm Zana, 3 Pokoje, Bez Prowizji","3 pokoje","68.77 m²","parter","Rury","1991","nie"
"579 479 zł","Nowe mieszkanie, 3 pokoje, dobra lokalizacja.","3 pokoje","65.11 m²","","Dziesiąta","brak informacji","nie"
"529 000 zł","Świetna lokalizacja|rozkładowe","3 pokoje","66.3 m²","4 piętro","Czuby Południowe","brak informacji","nie"
"Zapytaj o cenę","Mieszkanie M7, 46,14 mkw, 2 pokoje+aneks","2 pokoje","46.14 m²","1 piętro","Kalinowszczyzna","2024","tak"
"549 000 zł","Dwa pokoje w nowym budownictwie - Węglinek","2 pokoje","42.77 m²","2 piętro","Węglin Południowy","2019","tak"
"469 000 zł","3 Pokoje blisko Miasteczka Akademickiego","3 pokoje","46.8 m²","parter","Wieniawa","1968","tak"
"720 000 zł","3 pokojowe mieszkanie 72 m2 wraz z garażem Limbowa","3 pokoje","72 m²","1 piętro","Sławin","2012","tak"
"820 000 zł","OS. PRESTIGE Mieszkanie 3 - pokojowe","3 pokoje","65.66 m²","3 piętro","Czechów Północny","2017","tak"
"869 000 zł","3 sypialnie/4 pokoje/Lublin Nowe budownictwo/Felin","4 pokoje","74.93 m²","2 piętro","Felin","2020","tak"
"429 000 zł","Mieszkanie przy ul. Balladyny LSM","3 pokoje","46.5 m²","parter","Rury","1970","nie"
"767 000 zł","4 Pokoje-Centrum, Wieniawa,Widok na Panoramę Miast","4 pokoje","63.79 m²","9 piętro","Wieniawa","1977","tak"
"392 399 zł","3 pokoje po remoncie /OBNIŻONA CENA / bez pośredni","3 pokoje","43.6 m²","parter","Ponikwoda","1960","nie"
"489 000 zł","3 Pokoje Czuby Biedronki Drugie Piętro","3 pokoje","60.6 m²","2 piętro","Czuby Północne","1987","nie"
"750 765 zł","Osiedle Koncertowa Dolina | mieszkanie 4-pok. | 47","4 pokoje","75.87 m²","2 piętro","Czechów Północny","brak informacji","nie"
"669 000 zł","3P+A-Zamieszkaj przed świętami-BezPCC-Bezpośrednio","3 pokoje","52.15 m²","5 piętro","Śródmieście","2024","tak"
"730 000 zł","Luksusowy Apartament Blisko Centrum 63.4Mkw.","3 pokoje","63.4 m²","2 piętro","Sławin","2001","nie"
"495 250 zł","Apartamenty Poligonowa Etap 5, M7","1 pokój","39.62 m²","parter","Sławin","2026","nie"
"765 612 zł","Apartamenty Poligonowa Etap 4, M89","2 pokoje","70.89 m²","3 piętro","Sławin","2026","nie"
"380 160 zł","Zielone Tarasy Botanik ** PRZEDSPRZEDAŻ","2 pokoje","29.7 m²","2 piętro","Sławin","2026","nie"
"594 440 zł","Wojciechowska Square | mieszkanie 2","3 pokoje","54.04 m²","1 piętro","Konstantynów","2025","tak"
"686 986 zł","Wenus Mieszkania | mieszkanie nr M37","3 pokoje","64.81 m²","1 piętro","Czuby Północne","2023","tak"
"425 752 zł","Saski Point | wykończony lokal mieszkalny | 13","1 pokój","25.64 m²","1 piętro","Wieniawa","brak informacji","tak"
"542 686,20 zł","Gotowe mieszkanie 49 m2, 3 pokoje z aneksem","3 pokoje","49.38 m²","1 piętro","Wrotków","2024","tak"
"551 985 zł","3pokoje z balkonem- odbiór lipiec 2025,ul.Koralowa","3 pokoje","52.57 m²","1 piętro","Węglin Południowy","2025","tak"
"Zapytaj o cenę","Niecała Prestige Residence | nowe mieszkanie M17","4 pokoje","90.12 m²","2 piętro","Śródmieście","2024","tak"
"619 437 zł","Biernackiego 17|mieszkanie 4| minus 1000 zł/m2","2 pokoje","45.38 m²","1 piętro","Śródmieście","2025","tak"
"499 000 zł","4 pokoje_10 minut na Politechnikę_ od zaraz!","4 pokoje","57.86 m²","2 piętro","Wrotków","1978","nie"
"670 000 zł","2 pokojowy Apartament w centrum, balkon, parking","2 pokoje","41.25 m²","2 piętro","Śródmieście","2024","tak"
"824 500 zł","Piękne, 3-pokojowe mieszkanie w sercu Lublina","3 pokoje","71.7 m²","parter","Śródmieście","1970","nie"
"585 600 zł","Mieszkanie 3 pokojowe","3 pokoje","62.97 m²","1 piętro","Kośminek","brak informacji","nie"
