Price,Area,Elevator,Year,Rooms,Floor,Region,Name
419000.0,33.66,1,1986,2,1 piętro,Wrotków,"2-pokoje po remoncie, Wrotków, blisko Zalewu"
683400.0,67.0,0,1984,3,3 piętro,Śródmieście,Trzypokojowe mieszkanie w centrum do sprzedania
614164.0,55.38,0,,3,2 piętro,Węglin Południowy,Jemiołuszki Park| mieszkanie 3-pok. | M42
689000.0,76.16,0,2024,4,parter,Dziesiąta,"Nowy Segment 76 Mkw Z Ogródkiem. Dziesiąta, Lublin"
850000.0,86.7,0,2024,3,parter,Szerokie,Mieszkanie z garażem przy Siewierzan
869000.0,106.35,1,2010,3,3 piętro,Ponikwoda,Wyjątkowy Apartament Z Antresolą - Ponikwoda
650000.0,51.2,1,2018,3,8 piętro,Czechów Południowy,"52 M2 Na Czechowie, 3 Pokoje. Duży Balkon"
455000.0,47.8,0,1984,2,4 piętro,Czuby Południowe,"Mieszkanie 2Pokoje 48Mkw Na Czubach ,Wyżynna"
449000.0,31.0,1,2024,2,4 piętro,Felin,Felin-Os.Europejskie-2-pok-nowe-bez PCC-do wejscia
475440.0,51.81,1,2024,3,3 piętro,Czechów Południowy,Bez Prowizji Czechów ! Gotowe Na Grudzień 24 ! Ok
699000.0,75.5,0,1988,3,2 piętro,Rury,"Mieszkanie + garaż w świetnej lokalizacji 75,5m²"
415000.0,33.97,1,2024,2,3 piętro,Ponikwoda,"2 pokoje, ul. Dożynkowa, gotowe do wykończenia"
385000.0,32.3,0,1973,2,parter,Kalinowszczyzna,Mieszkanie Kalinowszczyzna Kleeberga 2 pokoje 33m2
348000.0,42.5,0,1996,2,4 piętro,Felin,Sprzedam mieszkanie 42m OKAZJA !
590000.0,56.3,0,1967,3,3 piętro,Rury,"Idealne mieszkanie dla rodziny lub inwestora, LSM"
499000.0,39.26,1,1972,2,10 piętro,Śródmieście,BEZPOŚREDNIO LSM Gliniana przy UP NOWE pod klucz!
395000.0,35.33,0,1964,2,parter,Wieniawa,Dwupokojowe mieszkanie na Wieniawie.
549000.0,55.0,0,1964,2,2 piętro,Wieniawa,Dwa duże pokoje na Wieniawie.
670000.0,79.3,0,1996,4,2 piętro,Sławin,"Sławinek, 4 pokoje, pod wynajem, dobry rozkład."
474355.0,43.09,1,,2,2 piętro,Czechów Północny,Osiedle Koncertowa Dolina | mieszkanie 2-pok. | 49
755000.0,62.0,1,2018,3,3 piętro,Bronowice,"3 pok mieszkanie, 62m2, Wrońska - Słoneczne Ogrody"
438726.0,49.23,0,2025,2,parter,Węglin Południowy,"2 pokoje, ul. Jemiołuszki, Węglin Pd, deweloperski"
679000.0,58.0,1,2023,3,6 piętro,Bronowice,3 pokoje widok na panoramę Lublina
534066.0,50.56,1,2026,3,parter,Czechów Południowy,Mieszkanie marzeń - 3 pokoje. Zamieszkaj w Lublini
599000.0,57.0,1,1980,3,2 piętro,Czechów Południowy,Duże mieszkanie 57m2 Lublin ul. Koncertowa 3 pok.
790000.0,102.24,0,1998,3,3 piętro,Czuby Południowe,Mieszkanie z widokiem na las Stary Gaj
552600.0,61.4,1,2025,3,,Śródmieście,Nowe mieszkanie. Realizacja 2024. Bez prowizji.
599000.0,55.0,1,2014,3,1 piętro,Sławin,3 pokoje na Sławinie
792763.0,74.09,1,2022,3,3 piętro,Sławin,Nowe mieszkanie w inw. Rezydencja Chabrowa | B.M19
481375.0,38.51,0,2026,2,parter,Sławin,"Apartamenty Poligonowa Etap 5, M8"
833727.0,64.63,0,2026,2,3 piętro,Sławin,"Apartamenty Poligonowa Etap 4, M93"
368280.0,29.7,0,2026,1,2 piętro,Sławin,Zielone Tarasy Botanik ** PRZEDSPRZEDAŻ
620950.0,56.45,1,2025,3,1 piętro,Konstantynów,Wojciechowska Square | mieszkanie 3
422929.0,25.47,1,,1,1 piętro,Wieniawa,Saski Point | wykończony lokal mieszkalny | 15
543235.7,49.43,1,2024,3,1 piętro,Wrotków,"Gotowe mieszkanie 49 m2, 3 pokoje z aneksem kuch."
850000.0,45.62,1,2024,2,3 piętro,Stare Miasto,Mieszkanie Od Właściciela 0% PCC ul.Wieniawska 11
679000.0,71.5,0,1990,4,3 piętro,Czechów Północny,*Duże Mieszkanie Z Balkonem * 4 Pokoje * Czechów*
519000.0,57.8,0,1977,3,2 piętro,Rury,"Mieszkanie Lsm - 3 Pokoje, Widok Na Wąwóz"
586474.0,55.38,0,,3,1 piętro,Węglin Południowy,Jemiołuszki Park| mieszkanie 3-pok. | M36
630000.0,54.0,0,,3,3 piętro,Śródmieście,Wyjątkowe mieszkanie w Centrum Lublina
570000.0,55.0,1,2023,3,3 piętro,Kośminek,3 pokoje | miejsce park | deweloperski | brak PCC
699000.0,58.47,1,2024,3,2 piętro,Felin,"3 pokoje, Felin, wykończone pod klucz, blok 2024"
499000.0,57.86,0,1978,4,2 piętro,Wrotków,4 pokoje_10 minut na Politechnikę_ od zaraz!
640000.0,60.8,0,2005,4,2 piętro,Sławin,SŁAWIN salon z aneksem plus 3 sypialnie 60.80m2
344817.0,34.83,1,2025,2,2 piętro,Ponikwoda,Nova Daliova | mieszkanie 2-pok. | B1.58
867000.0,66.46,1,2023,3,1 piętro,Czechów Północny,"** Czechów, Nowe, Wykończone, 66 Mkw - Bez Pcc **"
749000.0,64.34,1,2012,3,3 piętro,Węglin Południowy,"3 Pokoje, Koralowa, Duży Balkon, Klimatyzacja"
529000.0,48.5,0,2016,2,1 piętro,Dziesiąta,Trzypokojowe mieszkanie z niskim czynszem
512000.0,72.0,0,1985,3,4 piętro,Czechów Południowy,"Czechów, 3 Pokoje, Duży Balkon, Bez Prowizji"
613900.0,68.77,0,1991,3,parter,Rury,"Lsm Zana, 3 Pokoje, Bez Prowizji"
579479.0,65.11,0,,3,,Dziesiąta,"Nowe mieszkanie, 3 pokoje, dobra lokalizacja."
529000.0,66.3,0,,3,4 piętro,Czuby Południowe,Świetna lokalizacja|rozkładowe
549000.0,42.77,1,2019,2,2 piętro,Węglin Południowy,Dwa pokoje w nowym budownictwie - Węglinek
469000.0,46.8,1,1968,3,parter,Wieniawa,3 Pokoje blisko Miasteczka Akademickiego
720000.0,72.0,1,2012,3,1 piętro,Sławin,3 pokojowe mieszkanie 72 m2 wraz z garażem Limbowa
820000.0,65.66,1,2017,3,3 piętro,Czechów Północny,OS. PRESTIGE Mieszkanie 3 - pokojowe
869000.0,74.93,1,2020,4,2 piętro,Felin,3 sypialnie/4 pokoje/Lublin Nowe budownictwo/Felin
429000.0,46.5,0,1970,3,parter,Rury,Mieszkanie przy ul. Balladyny LSM
767000.0,63.79,1,1977,4,9 piętro,Wieniawa,"4 Pokoje-Centrum, Wieniawa,Widok na Panoramę Miast"
392399.0,43.6,0,1960,3,parter,Ponikwoda,3 pokoje po remoncie /OBNIŻONA CENA / bez pośredni
489000.0,60.6,0,1987,3,2 piętro,Czuby Północne,3 Pokoje Czuby Biedronki Drugie Piętro
750765.0,75.87,0,,4,2 piętro,Czechów Północny,Osiedle Koncertowa Dolina | mieszkanie 4-pok. | 47
669000.0,52.15,1,2024,3,5 piętro,Śródmieście,3P+A-Zamieszkaj przed świętami-BezPCC-Bezpośrednio
730000.0,63.4,0,2001,3,2 piętro,Sławin,Luksusowy Apartament Blisko Centrum 63.4Mkw.
495250.0,39.62,0,2026,1,parter,Sławin,"Apartamenty Poligonowa Etap 5, M7"
765612.0,70.89,0,2026,2,3 piętro,Sławin,"Apartamenty Poligonowa Etap 4, M89"
380160.0,29.7,0,2026,2,2 piętro,Sławin,Zielone Tarasy Botanik ** PRZEDSPRZEDAŻ
594440.0,54.04,1,2025,3,1 piętro,Konstantynów,Wojciechowska Square | mieszkanie 2
686986.0,64.81,1,2023,3,1 piętro,Czuby Północne,Wenus Mieszkania | mieszkanie nr M37
425752.0,25.64,1,,1,1 piętro,Wieniawa,Saski Point | wykończony lokal mieszkalny | 13
542686.2,49.38,1,2024,3,1 piętro,Wrotków,"Gotowe mieszkanie 49 m2, 3 pokoje z aneksem"
551985.0,52.57,1,2025,3,1 piętro,Węglin Południowy,"3pokoje z balkonem- odbiór lipiec 2025,ul.Koralowa"
619437.0,45.38,1,2025,2,1 piętro,Śródmieście,Biernackiego 17|mieszkanie 4| minus 1000 zł/m2
824500.0,71.7,0,1970,3,parter,Śródmieście,"Piękne, 3-pokojowe mieszkanie w sercu Lublina"
585600.0,62.97,0,,3,1 piętro,Kośminek,Mieszkanie 3 pokojowe
625000.0,58.0,0,,3,parter,Czechów Południowy,Mieszkanie 3 pokojowe Lublin Czechów Poludniowy
419950.0,37.0,1,1980,3,2 piętro,Tatary,Mieszkanie dla rodziny lub pod inwestycje
549000.0,55.0,0,,2,2 piętro,Rury,Mieszkanie LSM koło uczelni Bezpośrednio
850000.0,45.73,1,2024,2,3 piętro,Stare Miasto,Mieszkanie w Centrum Bezpośrednio Wieniawska 11
950000.0,56.74,1,2024,2,4 piętro,Śródmieście,Mieszkanie w Centrum 0% PCC ul. Wieniawska 11
537532.0,48.47,0,,3,1 piętro,Węglin Południowy,Jemiołuszki Park| mieszkanie 3-pok. | M32
950000.0,56.75,1,2024,2,3 piętro,Stare Miasto,Mieszkanie w Ścisłym Centrum 0% PCC ul.Wieniawska
598000.0,60.43,1,1987,3,7 piętro,Bronowice,Komfortowe 3Pokojowe Mieszkanie - Bronowice
469000.0,49.3,1,1980,2,3 piętro,Czuby Północne,"Przytulne mieszkanie, 2 pokoje, Czuby, Sympatyczna"
950000.0,72.86,0,1980,4,3 piętro,Czuby Północne,"Stylowe 72,86 po totalnym remoncie w mega okolicy!"
1350000.0,117.0,1,2013,4,2 piętro,Stare Miasto,"Ścisłe Centrum Czechowska , apartament 117m2"
460000.0,43.75,0,1958,2,parter,Dziesiąta,"2 pok, z dużą, oddzielną kuchnią, 2 km. do centrum"
1599000.0,116.88,1,2018,5,6 piętro,Konstantynów,"** Apartament 117 M2, Nałęczowska, Ostatnie Piętro"
899000.0,77.08,1,2011,4,3 piętro,Sławin,Mieszkanie 77 m2 ul. Relaksowa Sławin
455000.0,59.8,0,1986,3,4 piętro,Kalinowszczyzna,"60 Mkw, Kalinowszczyzna, Ul. Daszyńskiego"
380480.0,32.8,1,2024,2,,Kośminek,Mieszkanie blisko centrum. Bez prowizji.
675000.0,54.0,1,2024,3,4 piętro,Felin,Gotowe do wprowadzenia bec 2% PCC FELIN
589000.0,73.0,0,1995,3,3 piętro,Sławin,Mieszkanie na ul.Czeremchowej
673800.0,54.93,1,2027,3,,Bronowice,"Nowe, bez podatku Pcc, gotowe do zamieszkania."
295000.0,25.0,0,1968,1,parter,Tatary,Rezerwacja
420272.0,25.31,1,,1,3 piętro,Wieniawa,Saski Point | wykończony lokal mieszkalny | 31
469250.0,37.54,0,2026,2,parter,Sławin,"Apartamenty Poligonowa Etap 5, M6"
479550.0,41.7,0,2026,2,2 piętro,Sławin,Zielone Tarasy Botanik ** PRZEDSPRZEDAŻ
594440.0,54.04,1,2025,3,2 piętro,Konstantynów,Wojciechowska Square | mieszkanie 8
605515.0,56.37,1,,3,parter,Czechów Północny,Osiedle Koncertowa Dolina | mieszkanie 3-pok. | 3
559000.0,54.0,1,1970,3,1 piętro,Rury,"Sprzedam Lublin,LSM-Oś.Piastowskie,54 m2,3 pokoje"
620842.0,58.57,1,2024,4,1 piętro,Wrotków,"Gotowe mieszkanie 58 m2, 4 pokoje z aneksem kuch."
566000.0,63.7,0,1990,3,3 piętro,Czechów Północny,3 pokojowe mieszkanie w otoczeniu zieleni
375240.0,31.8,0,2024,2,2 piętro,Węglin Południowy,"Gotowe, bez PCC, mieszkanie 31,8m + garaż"
545000.0,63.1,0,1988,3,3 piętro,Kalinowszczyzna,"Mieszkanie, 63,10 m², Lublin"
899900.0,76.67,1,2018,3,2 piętro,Ponikwoda,"Apartament  Lublin, Ponikwoda"
515000.0,51.0,0,,2,3 piętro,Wieniawa,Mieszkanie dwupokojowe Al. Ralawickie
404973.0,34.06,0,,2,parter,Węglin Południowy,Jemiołuszki Park| mieszkanie 2-pok. | M27
479999.0,46.0,0,1965,3,2 piętro,Tatary,"Mieszkanie z nowym życiem - nowoczesny design, zer"
1499000.0,88.2,1,2019,4,10+ piętro,Czechów Południowy,** Apartament W Centrum Z Widokiem Na Zamek **
629000.0,52.77,0,2021,2,1 piętro,Dziesiąta,Nowoczesne mieszkanie w świetnej lokalizacji
680000.0,70.87,1,,3,2 piętro,Ponikwoda,Przestronne mieszkanie na Strzembosza - 3 pokoje
799000.0,67.79,0,1939,2,4 piętro,Śródmieście,Apartament z klimą i 100m2 tarasem w Śródmieściu
399000.0,51.02,0,1954,2,1 piętro,Bronowice,"Mieszkanie, 51,02 m², Lublin"
599000.0,61.0,1,1980,3,7 piętro,Czechów Północny,Przytulne 3 Pokojowe Mieszkanie Na Czechowie
