Price,Area,Elevator,Year,Rooms,Floor,Region
599000.0,55.0,1.0,2014,3.0,1 piętro,Sławin
792763.0,74.08999633789062,1.0,2022,3.0,3 piętro,Sławin
481375.0,38.5099983215332,0.0,2026,2.0,parter,Sławin
833727.0,64.62999725341797,0.0,2026,2.0,3 piętro,Sławin
368280.0,29.700000762939453,0.0,2026,1.0,2 piętro,Sławin
620950.0,56.45000076293945,1.0,2025,3.0,1 piętro,Konstantynów
422929.0,25.469999313354492,1.0,2011,1.0,1 piętro,Wieniawa
543235.6875,49.43000030517578,1.0,2024,3.0,1 piętro,Wrotków
850000.0,45.619998931884766,1.0,2024,2.0,3 piętro,Stare Miasto
679000.0,71.5,0.0,1990,4.0,3 piętro,Czechów Północny
519000.0,57.79999923706055,0.0,1977,3.0,2 piętro,Rury
586474.0,55.380001068115234,0.0,1986,3.0,1 piętro,Węglin Południowy
415000.0,33.970001220703125,1.0,2024,2.0,3 piętro,Ponikwoda
630000.0,54.0,0.0,1984,3.0,3 piętro,Śródmieście
570000.0,55.0,1.0,2023,3.0,3 piętro,Kośminek
699000.0,58.470001220703125,1.0,2024,3.0,2 piętro,Felin
499000.0,57.86000061035156,0.0,1978,4.0,2 piętro,Wrotków
640000.0,60.79999923706055,0.0,2005,4.0,2 piętro,Sławin
344817.0,34.83000183105469,1.0,2025,2.0,2 piętro,Ponikwoda
867000.0,66.45999908447266,1.0,2023,3.0,1 piętro,Czechów Północny
749000.0,64.33999633789062,1.0,2012,3.0,3 piętro,Węglin Południowy
529000.0,48.5,0.0,2016,2.0,1 piętro,Dziesiąta
512000.0,72.0,0.0,1985,3.0,4 piętro,Czechów Południowy
613900.0,68.7699966430664,0.0,1991,3.0,parter,Rury
579479.0,65.11000061035156,0.0,2014,3.0,2 piętro,Dziesiąta
529000.0,66.30000305175781,0.0,1964,3.0,4 piętro,Czuby Południowe
549000.0,42.77000045776367,1.0,2019,2.0,2 piętro,Węglin Południowy
469000.0,46.79999923706055,1.0,1968,3.0,parter,Wieniawa
720000.0,72.0,1.0,2012,3.0,1 piętro,Sławin
820000.0,65.66000366210938,1.0,2017,3.0,3 piętro,Czechów Północny
869000.0,74.93000030517578,1.0,2020,4.0,2 piętro,Felin
429000.0,46.5,0.0,1970,3.0,parter,Rury
767000.0,63.790000915527344,1.0,1977,4.0,9 piętro,Wieniawa
392399.0,43.599998474121094,0.0,1960,3.0,parter,Ponikwoda
489000.0,60.599998474121094,0.0,1987,3.0,2 piętro,Czuby Północne
750765.0,75.87000274658203,0.0,2018,4.0,2 piętro,Czechów Północny
669000.0,52.150001525878906,1.0,2024,3.0,5 piętro,Śródmieście
730000.0,63.400001525878906,0.0,2001,3.0,2 piętro,Sławin
495250.0,39.619998931884766,0.0,2026,1.0,parter,Sławin
765612.0,70.88999938964844,0.0,2026,2.0,3 piętro,Sławin
380160.0,29.700000762939453,0.0,2026,2.0,2 piętro,Sławin
594440.0,54.040000915527344,1.0,2025,3.0,1 piętro,Konstantynów
686986.0,64.80999755859375,1.0,2023,3.0,1 piętro,Czuby Północne
425752.0,25.639999389648438,1.0,2024,1.0,1 piętro,Wieniawa
542686.1875,49.380001068115234,1.0,2024,3.0,1 piętro,Wrotków
551985.0,52.56999969482422,1.0,2025,3.0,1 piętro,Węglin Południowy
619437.0,45.380001068115234,1.0,2025,2.0,1 piętro,Śródmieście
499000.0,57.86000061035156,0.0,1978,4.0,2 piętro,Wrotków
670000.0,41.25,1.0,2024,2.0,2 piętro,Śródmieście
824500.0,71.69999694824219,0.0,1970,3.0,parter,Śródmieście
585600.0,62.970001220703125,0.0,2002,3.0,1 piętro,Kośminek
625000.0,58.0,0.0,2009,3.0,parter,Czechów Południowy
419950.0,37.0,1.0,1980,3.0,2 piętro,Tatary
549000.0,55.0,0.0,1976,2.0,2 piętro,Rury
850000.0,45.72999954223633,1.0,2024,2.0,3 piętro,Stare Miasto
950000.0,56.7400016784668,1.0,2024,2.0,4 piętro,Śródmieście
537532.0,48.470001220703125,0.0,2022,3.0,1 piętro,Węglin Południowy
950000.0,56.75,1.0,2024,2.0,3 piętro,Stare Miasto
598000.0,60.43000030517578,1.0,1987,3.0,7 piętro,Bronowice
469000.0,49.29999923706055,1.0,1980,2.0,3 piętro,Czuby Północne
950000.0,72.86000061035156,0.0,1980,4.0,3 piętro,Czuby Północne
1350000.0,117.0,1.0,2013,4.0,2 piętro,Stare Miasto
460000.0,43.75,0.0,1958,2.0,parter,Dziesiąta
1599000.0,116.87999725341797,1.0,2018,5.0,6 piętro,Konstantynów
567000.0,52.5,0.0,2017,4.0,3 piętro,Rury
899000.0,77.08000183105469,1.0,2011,4.0,3 piętro,Sławin
455000.0,59.79999923706055,0.0,1986,3.0,4 piętro,Kalinowszczyzna
380480.0,32.79999923706055,1.0,2024,2.0,2 piętro,Kośminek
675000.0,54.0,1.0,2024,3.0,4 piętro,Felin
589000.0,73.0,0.0,1995,3.0,3 piętro,Sławin
630000.0,54.0,0.0,1984,3.0,3 piętro,Śródmieście
673800.0,54.93000030517578,1.0,2027,3.0,1 piętro,Bronowice
295000.0,25.0,0.0,1968,1.0,parter,Tatary
420272.0,25.309999465942383,1.0,1969,1.0,3 piętro,Wieniawa
469250.0,37.540000915527344,0.0,2026,2.0,parter,Sławin
